venues_id,name,address,crossStreet,lat,lng,cc,city,country,categories,verified,tip_count,url,price_tier,price_message,price_currency,likes,rating,photos,description,lists,hours,popular_hours,attributes
57fad9fc498e90a7831c4525,The Cheesecake Factory (ذي تشيزكيك فاكتوري),Imam Muhammed Bin Saud Rd,Sidra Restaurants,24.778321909340573,46.73438228062045,SA,الرياض,المملكة العربية السعودية,"""American Restaurant""",False,861,https://www.thecheesecakefactory.com,2.0,Moderate,$,2914,9.1,8426,,"""المفضله""""Best Places in Riyadh""""Sweets to take out | Riyadh""""الرياض / Riyadh""","""Mon–Wed, Sat–Sun 11:00 AM–1:00 AM """"Thu 11:00 AM–2:00 AM """"Fri 12:30 PM–12:20 AM ""","""Today 1:00 PM–6:00 PM 8:00 PM–1:00 AM """"Thu 1:00 PM–6:00 PM 8:00 PM–2:00 AM """"Fri 1:00 PM–2:00 AM """"Sat 1:00 PM–1:00 AM """"Sun 1:00 PM–2:00 PM 8:00 PM–Midnight """"Mon 1:00 PM–2:00 PM 8:00 PM–1:00 AM """"Tue 1:00 PM–3:00 PM 8:00 PM–1:00 AM ""","""Price : $$""""Reservations : No""""Credit Cards : Yes (incl. Visa & MasterCard)""""Music : Yes""""Lunch : Lunch""""Dinner : Dinner""""Dessert : Dessert""""Table Service : Table Service""""Bar Service : Bar Service""""Take-out : Take-out""""Street Parking : Street""""Public Lot : Public Lot""""Restroom : Yes""""Wheelchair Accessible : Yes"""
527b5d59498e5fef0bfa85ca,Chuck E. Cheese's (تشكي تشيز),Exit 9,Imam Abdullah bin Saud Rd,24.77860851685562,46.73535512394699,SA,الرياض,المملكة العربية السعودية,"""Pizza Place""""Toy / Game Store""",False,57,,2.0,Moderate,$,594,8.7,304,,"""My Try List""""Kids In Riyadh""""Kidsworld""""Kids activities""","""Mon–Thu 10:00 AM–Midnight """"Fri–Sat 1:00 PM–Noon ""","""Today 4:00 PM–Midnight """"Thu 4:00 PM–Midnight """"Fri 2:00 PM–Midnight """"Sat 1:00 PM–11:00 PM """"Sun 5:00 PM–11:00 PM """"Mon 5:00 PM–Midnight """"Tue 5:00 PM–11:00 PM ""","""Price : $$""""Reservations : Yes""""Outdoor Seating : No""""Dinner : Dinner""""Dessert : Dessert""""Delivery : No Delivery"""
57fadb94498e093d59241331,Blaze Pizza (بليز بيتزا),Imam Abdullah Bin Saud Rd,at Eastern Ring Rd,24.7789271157395,46.73409689560104,SA,الرياض,المملكة العربية السعودية,"""Pizza Place""",False,144,,1.0,Cheap,$,333,9.2,671,,"""Wish to go""""Vegan""""Must try""""Riyadh restaurants 💖""",,"""Today 1:00 PM–3:00 PM 9:00 PM–1:00 AM """"Thu 1:00 PM–5:00 PM 9:00 PM–2:00 AM """"Fri 2:00 PM–6:00 PM 9:00 PM–2:00 AM """"Sat 4:00 PM–6:00 PM 8:00 PM–1:00 AM """"Sun 1:00 PM–2:00 PM 5:00 PM–6:00 PM 9:00 PM–1:00 AM """"Mon 1:00 PM–3:00 PM 9:00 PM–1:00 AM """"Tue 1:00 PM–5:00 PM 8:00 PM–1:00 AM ""","""Price : $""""Dinner : Dinner"""
5ae5b07f029a5500391f9aae,Raising Cane’s (ريزنج كينز),,,24.778850190704798,46.73391519761815,SA,الرياض,المملكة العربية السعودية,"""Fried Chicken Joint""",False,64,,1.0,Cheap,$,258,8.8,724,,"""Riyadh Rest""""Restaurants Riyadh""""بارتشن مطاعم""""To go to""",,"""Today 1:00 PM–5:00 PM 9:00 PM–1:00 AM """"Thu Noon–6:00 PM 9:00 PM–2:00 AM """"Fri 2:00 PM–3:00 PM 5:00 PM–6:00 PM 8:00 PM–2:00 AM """"Sat 4:00 PM–6:00 PM 8:00 PM–1:00 AM """"Sun 1:00 PM–5:00 PM 8:00 PM–1:00 AM """"Mon–Tue Noon–3:00 PM 9:00 PM–1:00 AM ""","""Price : $""""Lunch : Lunch""""Dinner : Dinner"""
57fadac2498eb0c4e8552c33,P. F. Chang's,Imam Muhammed Bin Saud Rd,Sidra Restaurants,24.778680971126732,46.734253690079726,SA,الرياض,المملكة العربية السعودية,"""Chinese Restaurant""""Asian Restaurant""",False,341,https://www.pfchangs.com,1.0,Cheap,$,1147,8.7,3439,,"""Best Places in Riyadh""""Riyadh""""الرياض / Riyadh""""Riyadh restaurants 💖""","""Mon–Wed, Sat–Sun 11:00 AM–1:00 AM """"Thu 11:00 AM–2:00 AM """"Fri 1:00 PM–2:00 AM ""","""Today 1:00 PM–6:00 PM 8:00 PM–1:00 AM """"Thu 1:00 PM–6:00 PM 8:00 PM–2:00 AM """"Fri 1:00 PM–2:00 AM """"Sat 1:00 PM–1:00 AM """"Sun 8:00 PM–1:00 AM """"Mon–Tue 1:00 PM–3:00 PM 8:00 PM–1:00 AM ""","""Price : $""""Credit Cards : Yes (incl. American Express & MasterCard)""""Music : Yes""""Lunch : Lunch""""Dinner : Dinner""""Table Service : Table Service""""Take-out : Take-out""""Street Parking : Street""""Public Lot : Public Lot""""Restroom : Yes""""Wheelchair Accessible : Yes"""
5bcb85d36f0aa2002c8caf7b,CHKN POP - UP,Near To SIDRAH,,24.7777463425776,46.733177884238145,SA,الرياض,المملكة العربية السعودية,"""Fried Chicken Joint""""Fast Food Restaurant""",False,275,http://3bees.sa,1.0,Cheap,$,1134,8.7,3514,,"""Riyadh Foodie""""Riyadh""""Riyadh""""Burgers | Riyadh""","""Mon–Sun 4:00 PM–11:30 PM ""","""Today 5:00 PM–Midnight """"Thu–Sat 4:00 PM–Midnight """"Sun 6:00 PM–Midnight """"Mon 6:00 PM–Midnight """"Tue 5:00 PM–Midnight ""","""Price : $""""Credit Cards : Yes""""Outdoor Seating : Yes""""Live Music : Live Music""""Wi-Fi : Yes""""Lunch : Lunch""""Dinner : Dinner""""Dessert : Dessert""""Happy Hour : Happy Hour""""Bar Snacks : Bar Snacks""""Tasting Menu : Tasting Menu""""Table Service : Table Service""""Take-out : Take-out""""Street Parking : Street""""Public Lot : Public Lot""""Restroom : Yes""""Smoking : Yes"""
57fc1d24498e4e5f28f52493,IHOP (آيهوب),Exit 9,Sidra Restaurants,24.778038751761994,46.73378145630039,SA,الرياض,المملكة العربية السعودية,"""Breakfast Spot""""American Restaurant""",False,158,,1.0,Cheap,$,501,8.4,1662,,"""Breakfast spots🍳""""Breakfast In Riyadh""""Breakfast 🍳🥞""""Breakfast""",,"""Today 6:00 AM–Noon """"Thu 6:00 AM–1:00 PM """"Fri 6:00 AM–11:00 AM 1:00 PM–3:00 PM """"Sat 6:00 AM–3:00 PM """"Sun 6:00 AM–Noon """"Mon–Tue 6:00 AM–Noon ""","""Price : $""""Credit Cards : Yes (incl. American Express & NFC Payments)""""Breakfast : Breakfast""""Brunch : Brunch""""Lunch : Lunch"""
5a144c9225fb7b631b0112e2,Henayne Truck,Alhamra,,24.771117726359225,46.74306314175914,SA,الرياض,المملكة العربية السعودية,"""Food Truck""",False,3,,1.0,Cheap,$,16,8.2,22,,"""New Year Plan""""Riyadh""""Food Trucks""""Will Go""",,"""Today 6:00 PM–11:00 PM """"Thu 5:00 PM–11:00 PM """"Fri 4:00 PM–11:00 PM """"Sat 4:00 PM–10:00 PM """"Sun 9:00 PM–10:00 PM """"Mon 6:00 PM–11:00 PM """"Tue 5:00 PM–Midnight ""","""Price : $"""
57fc1c19498e064f77f60978,Texas Roadhouse (تكساس رودهاوس),Imam Abdullah bin Saud,,24.77875881440021,46.73424983573365,SA,الرياض,المملكة العربية السعودية,"""American Restaurant""""Steakhouse""",False,208,,2.0,Moderate,$,466,8.3,1614,,"""Best Places in Riyadh""""Riyadh Foodie""""Dubai""""Riyadh's Restaurants""",,"""Today 1:00 PM–2:00 PM 4:00 PM–5:00 PM 9:00 PM–1:00 AM """"Thu 1:00 PM–5:00 PM 9:00 PM–2:00 AM """"Fri 1:00 PM–2:00 AM """"Sat 2:00 PM–1:00 AM """"Sun 9:00 PM–1:00 AM """"Mon 2:00 PM–3:00 PM 9:00 PM–1:00 AM """"Tue 1:00 PM–2:00 PM 9:00 PM–1:00 AM ""","""Price : $$""""Dinner : Dinner"""
57fc1caacd1040df83fd31d9,Shake Shack,Exit 9,Sidra Restaurants,24.77876344793448,46.73367120498761,SA,الرياض,المملكة العربية السعودية,"""Burger Joint""",False,38,,1.0,Cheap,$,145,8.4,628,,"""New""""Burgers in Riyadh""""4square""",,"""Today Noon–3:00 PM 9:00 PM–1:00 AM """"Thu Noon–5:00 PM 9:00 PM–2:00 AM """"Fri 5:00 PM–2:00 AM """"Sat 2:00 PM–5:00 PM 7:00 PM–1:00 AM """"Sun 1:00 PM–3:00 PM 9:00 PM–1:00 AM """"Mon 1:00 PM–3:00 PM 8:00 PM–1:00 AM """"Tue 1:00 PM–5:00 PM 9:00 PM–1:00 AM ""","""Price : $""""Lunch : Lunch""""Dinner : Dinner"""
